Name,Position,Swim,SwimBike,Bike,BikeRun,Run,Final,Gender,Division
Cristian Arroyo,514,1:20:40,00:07:23,5:35:45,00:07:57,4:29:29,11:41:14,M,45-49

Eduard De Groot,515,1:18:34,00:06:00,5:25:55,00:05:08,4:45:46,11:41:23,M,25-29

Tom Lang,516,1:03:34,00:05:52,5:16:30,00:05:30,5:10:14,11:41:40,M,35-39

Mark Herson,517,1:16:11,00:05:26,5:30:33,00:07:22,4:42:10,11:41:42,M,30-34

Chris Bourque,518,1:29:19,00:09:20,5:36:41,00:07:15,4:19:11,11:41:45,M,35-39

Pablo Bueno,519,1:24:52,00:09:14,5:44:54,00:07:59,4:14:52,11:41:51,M,45-49

Mark Wallace,520,1:28:17,00:10:46,6:04:35,00:08:17,3:50:10,11:42:05,M,55-59

Kaitlyn Dawson,521,1:05:32,00:06:12,5:51:03,00:05:40,4:33:40,11:42:06,F,30-34

Bruno Solis,522,1:32:18,00:08:48,6:02:03,00:08:27,3:50:49,11:42:25,M,40-44

Troy Lambert,523,1:10:57,00:08:30,5:23:43,00:07:10,4:52:18,11:42:38,M,30-34

Jonathan Bruney,524,1:23:56,00:04:38,5:46:37,00:11:15,4:16:29,11:42:54,M,25-29

Paola Fierro Vargas,525,1:34:44,00:10:23,6:01:05,00:07:12,3:49:35,11:43:00,F,45-49

Caden Darling,526,00:57:48,00:04:51,5:36:12,00:05:54,4:58:37,11:43:22,M,25-29

Angel Jaime Ruiz,527,1:30:13,00:09:51,5:59:20,00:09:25,3:54:38,11:43:27,M,35-39

Vu Thai,528,1:41:53,00:08:14,5:20:54,00:06:26,4:26:08,11:43:35,M,40-44

Miguel Bohorquez Canessa,529,1:10:10,00:07:03,6:37:13,00:07:24,3:41:52,11:43:41,M,30-34

Christopher Black,530,1:22:43,00:10:25,5:37:40,00:07:19,4:25:38,11:43:44,M,25-29

Jani Hirvonen,531,1:22:24,00:06:50,5:34:07,00:08:04,4:32:26,11:43:50,M,45-49

Matias Honnen,532,1:21:35,00:05:59,5:06:10,00:08:44,5:01:32,11:44:00,M,40-44

Bradley Hartman,533,1:16:26,00:07:43,5:53:28,00:05:55,4:20:34,11:44:06,M,30-34

Michele Croce,534,1:18:23,00:08:03,5:56:05,00:07:39,4:14:05,11:44:15,M,45-49

Brian Lumpkin,535,1:11:55,00:06:58,5:50:24,00:08:16,4:26:57,11:44:29,M,45-49

Haley Mcwilliams,536,00:59:09,00:05:18,5:27:38,00:05:44,5:06:44,11:44:32,F,25-29

Sara Duchesne,537,1:15:53,00:09:00,5:44:26,00:13:25,4:22:18,11:45:01,F,50-54

Lior Mor,538,1:15:01,00:08:31,5:39:23,00:09:56,4:32:14,11:45:05,M,45-49

Robert Heyer,539,1:31:30,00:09:13,5:59:40,00:08:26,3:56:40,11:45:29,M,30-34

Shane Vetter,540,1:26:12,00:10:08,6:19:52,00:08:01,3:41:33,11:45:46,M,45-49

Faisal Fogle,541,1:15:17,00:08:13,5:20:48,00:10:05,4:51:42,11:46:04,M,25-29

Matt Escobar,542,1:17:23,00:13:18,6:19:49,00:10:56,3:44:46,11:46:12,M,25-29

Nadine Seferian,543,1:17:43,00:05:39,5:48:39,00:06:27,4:27:53,11:46:21,F,45-49

Christina Lantuh,544,1:15:05,00:08:23,5:45:45,00:09:07,4:28:18,11:46:38,F,30-34

Camila Lee,545,1:07:15,00:07:34,5:12:10,00:07:28,5:12:15,11:46:41,F,30-34

Michael Delk,546,1:10:12,00:07:18,5:45:15,00:12:06,4:32:03,11:46:54,M,40-44

Sue Fleming,547,1:27:06,00:06:54,5:49:29,00:12:11,4:11:25,11:47:05,F,50-54

John Stadick,548,1:20:45,00:07:16,5:14:18,00:08:20,4:56:27,11:47:05,M,55-59

Charles Moses,549,1:12:36,00:09:24,5:55:28,00:11:00,4:18:44,11:47:11,M,50-54

Jose Leal Hirales,550,1:30:20,00:06:57,5:31:20,00:08:40,4:30:34,11:47:52,M,55-59

Heather Weirath,551,1:14:43,00:13:14,6:21:58,00:06:04,3:52:03,11:48:04,F,50-54

Alexis Grewer,552,1:07:33,00:09:31,5:54:46,00:08:09,4:28:05,11:48:05,F,30-34

Matt Costello,553,1:32:21,00:11:07,5:45:32,00:05:50,4:13:32,11:48:21,M,30-34

Lisa Kuecker,554,1:10:19,00:06:48,5:45:42,00:06:44,4:38:50,11:48:24,F,55-59

Nathan Bolt,555,1:16:24,00:04:51,5:35:38,00:06:44,4:44:52,11:48:29,M,30-34

Sergio Pavan,556,1:21:57,00:07:15,5:45:17,00:10:35,4:23:25,11:48:29,M,30-34

Craig Noble,557,1:14:39,00:05:35,5:39:33,00:08:28,4:40:18,11:48:33,M,55-59

Thien Ly,558,1:30:49,00:09:22,5:10:33,00:08:28,4:49:52,11:49:04,M,45-49

Kevin Randick,559,1:19:01,00:07:44,6:05:28,00:07:47,4:09:08,11:49:07,M,45-49

Matthew Smiley,560,1:01:08,00:06:38,5:40:24,00:13:46,4:47:18,11:49:13,M,25-29

Jack Maddan,561,00:55:59,00:08:23,6:22:35,00:09:40,4:12:59,11:49:35,M,45-49

Victor Castrillo,562,1:12:12,00:06:22,5:47:57,00:06:56,4:36:44,11:50:10,M,35-39

Alexander Badajos,563,1:14:18,00:08:01,5:40:37,00:14:40,4:32:38,11:50:13,M,40-44

Ian Gerritsen,564,1:21:47,00:05:25,5:18:54,00:07:27,4:57:06,11:50:39,M,45-49

Cyrus Musgrove,565,1:16:14,00:04:45,5:50:10,00:06:33,4:33:07,11:50:49,M,18-24

Caleb Howland,566,1:20:55,00:11:58,6:02:38,00:11:46,4:03:47,11:51:05,M,35-39

Eric Kim,567,1:22:14,00:08:24,5:42:50,00:08:33,4:29:37,11:51:37,M,50-54

Dane Evans,568,1:22:59,00:10:37,6:00:55,00:12:24,4:05:16,11:52:11,M,35-39

Lucas Osorio,569,1:16:04,00:06:50,5:52:41,00:09:15,4:27:24,11:52:15,M,45-49

Kevin Rupp,570,1:08:55,00:05:38,5:43:56,00:07:32,4:46:30,11:52:31,M,60-64

Piero Capponi,571,1:08:12,00:13:42,5:40:05,00:07:48,4:42:44,11:52:31,M,35-39

Greg Colvin,572,1:17:05,00:07:10,5:02:32,00:08:35,5:17:19,11:52:42,M,55-59

Don Mroczko,573,1:22:56,00:12:04,5:13:12,00:12:16,4:52:27,11:52:55,M,45-49

Russell Goold,574,1:24:08,00:08:42,5:43:31,00:06:24,4:30:26,11:53:11,M,50-54

Karen Tamson,575,1:05:32,00:05:42,5:52:43,00:06:19,4:43:09,11:53:24,F,60-64

Meredith Green,576,00:54:31,00:06:23,5:59:40,00:08:12,4:44:40,11:53:27,F,40-44

Colin O'Connor,577,1:00:14,00:05:46,6:12:43,00:09:30,4:25:17,11:53:31,M,18-24

Juan Jose Perez Romero,578,1:24:18,00:09:12,5:41:51,00:05:25,4:32:46,11:53:32,M,40-44

Esther Collinetti,579,1:13:12,00:05:35,6:07:08,00:08:36,4:19:02,11:53:33,F,45-49

Roderick Wold,580,1:01:56,00:06:25,5:29:24,00:05:02,5:10:49,11:53:37,M,55-59

Mafer Pinder,581,1:11:27,00:07:32,5:39:32,00:07:55,4:47:22,11:53:47,F,35-39

Michael Parker,582,1:15:33,00:10:37,6:03:26,00:09:33,4:14:42,11:53:50,M,30-34

Clint Swartz,583,1:17:39,00:09:54,5:55:24,00:09:47,4:21:14,11:53:58,M,30-34

Bonnie Caulfield,584,1:07:20,00:09:20,6:01:01,00:08:31,4:28:02,11:54:14,F,30-34

Paige Cooley,585,1:13:18,00:05:27,5:43:27,00:06:24,4:45:48,11:54:24,F,25-29

Bryan Devries,586,1:13:49,00:07:52,5:29:55,00:07:12,4:55:37,11:54:26,M,30-34

Troy Naef,587,1:26:36,00:08:45,5:59:37,00:10:27,4:09:09,11:54:34,M,45-49

Jeremy Smith,588,1:15:34,00:06:38,5:45:41,00:08:09,4:38:42,11:54:45,M,50-54

Izumi Yamashita,589,1:14:31,00:07:51,5:52:45,00:08:24,4:31:29,11:54:59,F,60-64

David Hernandez,590,1:10:42,00:07:43,6:01:41,00:06:33,4:28:28,11:55:07,M,50-54

Margaret Ruggles,591,1:15:18,00:09:47,5:48:08,00:08:22,4:33:40,11:55:15,F,50-54

Gemma Hollis,592,1:11:14,00:05:02,5:34:04,00:05:36,4:59:28,11:55:25,F,45-49

Alan Leedy,593,1:10:27,00:06:56,5:49:03,00:09:04,4:40:02,11:55:31,M,50-54

Daniel Labarca,594,1:16:50,00:05:59,5:46:49,00:08:17,4:37:51,11:55:46,M,55-59

Zachary Keller,595,1:25:38,00:08:09,6:33:34,00:11:22,3:37:15,11:55:57,M,25-29

Alan Clark,596,1:18:06,00:07:41,5:59:44,00:08:51,4:21:41,11:56:03,M,50-54

Miguel A Ramos,597,1:18:20,00:08:25,5:27:30,00:07:10,4:54:41,11:56:05,M,60-64

James Nigrelli,598,1:09:51,00:10:21,6:04:09,00:07:18,4:24:53,11:56:32,M,25-29

Paul Lebouille,599,1:09:26,00:05:07,5:39:18,00:08:16,4:54:46,11:56:53,M,50-54

Kelsey Hojan-Clark,600,00:56:43,00:04:41,6:16:25,00:07:46,4:31:44,11:57:19,F,30-34

Jeff Bonifas,601,1:22:52,00:12:03,5:42:09,00:10:16,4:29:59,11:57:19,M,45-49

Alejandro Torres Lozano,602,1:29:12,00:09:51,5:49:14,00:15:39,4:13:24,11:57:21,M,45-49

Ryan Finvarb,603,1:33:55,00:06:44,5:47:49,00:06:00,4:23:14,11:57:43,M,18-24

Jillian Raab,604,1:03:59,00:05:49,6:00:29,00:06:30,4:42:21,11:59:09,F,18-24

Shannon Ahern,605,1:13:41,00:06:21,6:46:39,00:06:59,3:45:51,11:59:32,F,25-29

Brian O'Hara,606,1:30:24,00:06:54,6:19:33,00:11:54,3:50:48,11:59:33,M,25-29

Charlie Tetrault,607,1:25:35,00:09:55,5:43:06,00:09:25,4:31:43,11:59:43,M,40-44

Nate Worcester,608,1:30:13,00:10:57,5:44:08,00:09:21,4:25:28,12:00:08,M,35-39

Kimmarie Dautrich,609,1:15:09,00:07:05,6:00:42,00:10:27,4:26:57,12:00:20,F,30-34

Kyle McCuen,610,1:16:13,00:14:25,5:42:48,00:13:24,4:33:32,12:00:22,M,45-49

Yutaro Takeuchi,611,1:15:15,00:11:27,5:33:46,00:18:26,4:41:28,12:00:23,M,25-29

Guillaume Fauchille,612,1:19:48,00:10:50,6:00:16,00:08:29,4:21:24,12:00:46,M,40-44

Bret Farris,613,1:14:25,00:05:07,5:42:52,00:08:48,4:49:51,12:01:02,M,40-44

Skyler Spiller,614,1:04:35,00:09:05,5:44:26,00:12:38,4:50:37,12:01:21,M,30-34

Sarah Byers,615,1:02:24,00:06:15,5:44:23,00:09:35,4:58:57,12:01:33,F,40-44

Jordan Begnaud,616,1:14:43,00:05:33,5:31:25,00:08:30,5:01:25,12:01:36,M,30-34

Ashley Mccuen,617,1:29:47,00:10:01,5:56:57,00:10:17,4:14:44,12:01:46,F,35-39

Paul Negron,618,1:26:48,00:07:50,5:56:12,00:11:02,4:20:29,12:02:21,M,35-39

Joanna Dillon,619,1:12:42,00:04:36,5:41:24,00:06:31,4:57:10,12:02:23,F,45-49

Barb Campbell,620,1:14:36,00:09:42,5:47:12,00:10:09,4:40:48,12:02:26,F,50-54

Isabel Hardee,621,1:22:40,00:10:56,6:02:58,00:05:34,4:21:18,12:03:25,F,30-34

Brian Kenady,622,1:13:32,00:09:27,5:28:10,00:09:27,5:02:52,12:03:27,M,55-59

Jerry Kline,623,1:25:04,00:06:49,5:50:32,00:07:20,4:33:58,12:03:43,M,40-44

Steven Olguin,624,1:13:31,00:08:46,5:34:28,00:12:54,4:54:08,12:03:47,M,30-34

Thomas Holenweger,625,1:07:44,00:03:59,5:36:34,00:05:10,5:10:27,12:03:54,M,40-44

Bartolome Jerry,626,1:42:53,00:08:18,5:58:41,00:09:18,4:04:46,12:03:57,M,50-54

John Uribe,627,1:32:06,00:05:29,5:29:12,00:06:13,4:51:24,12:04:25,M,50-54

Amanda Bartolome,628,1:07:27,00:07:57,6:19:00,00:08:40,4:21:30,12:04:34,F,40-44

Leif Wold,629,1:24:40,00:07:54,5:39:13,00:06:03,4:46:53,12:04:42,M,60-64

Joshua Sonnier,630,1:05:18,00:07:50,5:36:55,00:08:32,5:06:21,12:04:56,M,30-34

Trevor Eaton,631,1:12:43,00:05:44,5:51:19,00:07:08,4:48:07,12:05:00,M,45-49

Christopher Haas,632,1:08:07,00:03:55,6:22:40,00:04:17,4:26:23,12:05:21,M,40-44

Ciara Stockeland,633,1:20:44,00:06:51,5:47:03,00:07:20,4:43:26,12:05:24,F,45-49

Lior Razli,634,1:38:28,00:06:32,6:25:15,00:05:18,3:51:50,12:07:25,M,40-44

Julie Kaczor,635,1:27:56,00:06:59,5:48:17,00:07:02,4:37:17,12:07:31,F,60-64

Justin Dorn,636,1:13:36,00:05:52,5:23:38,00:09:11,5:16:20,12:08:37,M,40-44

Christopher Alto,637,1:13:38,00:08:19,5:45:52,00:11:42,4:49:17,12:08:48,M,30-34

Chuck Engle,638,1:15:01,00:06:17,5:26:21,00:11:10,5:10:01,12:08:50,M,50-54

Carlos Crespo,639,1:31:06,00:09:46,5:45:00,00:15:14,4:27:52,12:08:59,M,50-54

Harold Olson,640,1:18:29,00:15:09,5:52:53,00:15:58,4:26:40,12:09:09,M,35-39

Kenny Nguyen,641,1:19:30,00:07:06,5:27:44,00:08:33,5:06:23,12:09:16,M,40-44

Alex Prostano,642,1:18:12,00:09:04,6:13:14,00:08:56,4:19:50,12:09:18,M,30-34

James Charles-Phelan,643,1:13:33,00:05:11,5:08:54,00:08:14,5:33:43,12:09:36,M,30-34

Jeff Tobin,644,1:10:32,00:05:52,4:55:34,00:04:50,5:52:48,12:09:36,M,35-39

Freddy Aguero,645,1:24:40,00:10:22,6:34:31,00:09:24,3:50:39,12:09:36,M,35-39

Alexander Bojanic,646,1:29:38,00:07:13,5:57:57,00:11:48,4:23:24,12:10:00,M,55-59

Paul Cleveringa,647,1:23:26,00:08:28,6:11:24,00:07:58,4:19:02,12:10:18,M,25-29

Scott Clary,648,00:58:35,00:09:07,6:05:03,00:11:29,4:46:05,12:10:20,M,30-34

Tom Greenwald,649,1:25:44,00:08:43,5:52:36,00:09:03,4:34:44,12:10:50,M,60-64

Regan Mcgrath,650,1:20:47,00:09:32,6:08:47,00:10:23,4:21:36,12:11:06,M,30-34

Chris Gardner,651,1:04:37,00:04:37,5:28:42,00:05:34,5:27:49,12:11:19,M,35-39

Giovanni Marano,652,1:41:29,00:15:29,5:52:38,00:08:53,4:13:01,12:11:30,M,35-39

Peter Flanagan,653,1:23:01,00:10:30,5:46:24,00:12:09,4:39:56,12:12:00,M,40-44

Lance Bultman,654,1:09:37,00:06:58,5:32:32,00:09:08,5:13:45,12:12:01,M,18-24

Jordan Isaacs,655,1:19:35,00:11:52,5:51:21,00:12:18,4:37:08,12:12:13,M,30-34

Jacob Bremer,656,1:07:49,00:05:32,5:29:49,00:08:51,5:20:13,12:12:15,M,30-34

Karen Sullivan,657,1:11:25,00:08:15,5:43:50,00:10:22,4:58:25,12:12:17,F,50-54

David Lukas,658,1:11:28,00:08:47,5:44:56,00:10:48,4:56:27,12:12:27,M,40-44

Scott Hirth,659,1:21:15,00:08:42,5:38:57,00:11:05,4:52:45,12:12:45,M,50-54

Patrick Lopes,660,1:04:39,00:05:42,5:32:00,00:11:57,5:18:27,12:12:46,M,40-44

Luis Bustamante Carrillo,661,1:34:46,00:10:44,5:51:26,00:08:31,4:27:42,12:13:09,M,40-44

Andy Kriebel,662,1:15:35,00:11:37,5:51:51,00:10:41,4:43:31,12:13:15,M,50-54

Kenneth Ebener,663,1:24:50,00:08:33,6:05:20,00:08:06,4:26:40,12:13:29,M,50-54

Sam Calandra,664,1:24:38,00:13:40,5:44:16,00:13:16,4:37:41,12:13:31,M,55-59

Heiko Stein,665,1:08:32,00:05:07,5:21:29,00:09:59,5:28:27,12:13:35,M,55-59

Kara Turner,666,1:06:40,00:06:51,5:48:22,00:08:48,5:03:00,12:13:42,F,30-34

John Burk,667,1:11:12,00:09:25,5:58:05,00:11:25,4:43:38,12:13:46,M,55-59

Christopher Peaslee,668,1:23:11,00:09:03,5:32:13,00:07:43,5:01:48,12:13:58,M,55-59

Henry Witherspoon,669,1:23:59,00:06:40,6:07:11,00:10:52,4:25:36,12:14:18,M,18-24

Anthony Dileo,670,1:22:49,00:09:06,6:26:18,00:08:48,4:07:33,12:14:34,M,25-29

Clement Qaqish,671,1:33:57,00:08:08,5:38:27,00:13:33,4:40:37,12:14:42,M,40-44

Paulo Velarde,672,1:26:49,00:09:03,5:41:31,00:09:01,4:49:04,12:15:28,M,40-44

Daniel Morgan,673,1:03:22,00:06:01,5:58:52,00:06:37,5:00:42,12:15:34,M,60-64

Andrzej Karas,674,1:27:30,00:07:38,5:52:02,00:07:10,4:41:20,12:15:40,M,50-54

Patrick Collins,675,1:18:40,00:08:35,5:33:57,00:07:15,5:07:25,12:15:52,M,18-24

Mark Lee,676,1:21:57,00:07:41,5:44:38,00:12:44,4:49:05,12:16:06,M,50-54

Eric Belanger,677,1:35:39,00:08:14,5:51:30,00:08:18,4:32:27,12:16:07,M,50-54

Tom O'Shea,678,1:17:00,00:08:35,6:02:44,00:08:19,4:39:44,12:16:22,M,25-29

Ivan Hernandez Gonzalez,679,1:33:04,00:09:09,6:12:48,00:11:38,4:09:55,12:16:34,M,35-39

Sam Wittwer,680,1:05:33,00:06:13,5:54:25,00:04:11,5:06:18,12:16:39,M,25-29

Tyler Rosen,681,1:13:24,00:07:18,5:49:38,00:10:01,4:56:26,12:16:47,M,25-29

Christopher Wiederhold,682,1:13:20,00:10:06,6:15:21,00:07:20,4:30:56,12:17:03,M,50-54

Nicolas Yepes,683,1:25:55,00:04:36,5:45:38,00:09:35,4:51:30,12:17:14,M,18-24

Brian Reilly,684,1:12:04,00:06:53,5:55:03,00:07:36,4:55:40,12:17:16,M,55-59

Scott Voigt,685,1:05:01,00:16:17,5:50:12,00:09:29,4:56:24,12:17:23,M,25-29

Ryan Schmidt,686,1:25:10,00:08:06,6:12:14,00:07:12,4:25:06,12:17:48,M,25-29

Jayson Penn,687,1:19:49,00:11:17,6:19:16,00:08:24,4:19:37,12:18:23,M,55-59

Reggie Bruhn,688,1:14:13,00:09:12,5:40:48,00:12:04,5:02:24,12:18:41,M,65-69

Julian Valderrama,689,1:19:59,00:17:38,6:04:15,00:12:49,4:24:06,12:18:47,M,45-49

Mia Corso,690,1:21:26,00:05:20,6:27:42,00:05:17,4:19:47,12:19:32,F,18-24

Anthony Amoroso,691,1:25:56,00:06:54,5:35:01,00:06:19,5:05:47,12:19:57,M,50-54

Arquimedes Lopez,692,1:33:20,00:08:29,5:50:17,00:13:23,4:34:40,12:20:09,M,40-44

Nicole Suss,693,1:13:46,00:05:19,5:51:25,00:05:01,5:04:41,12:20:12,F,25-29

Clinton Dungan,694,1:14:23,00:06:03,5:32:46,00:07:50,5:19:27,12:20:28,M,35-39

Joshua Savage,695,1:16:09,00:08:35,5:32:02,00:11:46,5:12:12,12:20:44,M,40-44

Andrea Foianini,696,1:25:58,00:06:19,5:59:00,00:07:27,4:42:01,12:20:45,F,40-44

Marie-Josee Cossette,697,1:00:56,00:05:37,5:37:10,00:06:39,5:31:12,12:21:35,F,60-64

Traci Koon,698,1:23:02,00:06:01,6:09:13,00:06:28,4:36:53,12:21:38,F,55-59

Vinod Kumar,699,1:29:36,00:09:56,5:57:35,00:10:18,4:34:17,12:21:44,M,40-44

Chad Snapp,700,1:35:29,00:09:44,5:46:47,00:10:22,4:39:23,12:21:45,M,45-49

Sara Bund,701,1:04:04,00:07:08,5:53:34,00:06:51,5:10:30,12:22:07,F,40-44

Ryan Nelson,702,1:30:47,00:14:22,5:47:27,00:16:21,4:33:23,12:22:20,M,30-34

Eduardo Arroyo,703,1:29:57,00:09:55,6:00:02,00:10:46,4:31:43,12:22:24,M,55-59

Nicole Nicolay,704,1:14:53,00:06:24,5:44:38,00:08:55,5:07:49,12:22:39,F,45-49

Christopher Merkley,705,1:21:17,00:06:33,5:54:32,00:08:34,4:51:55,12:22:52,M,35-39

Ryan Grothe,706,1:24:33,00:11:23,5:51:33,00:11:37,4:43:53,12:23:00,M,40-44

Tara Degeorge,707,00:59:18,00:04:56,6:16:17,00:08:33,4:53:58,12:23:01,F,25-29

Zachary Birnbrich,708,00:55:12,00:17:39,6:23:42,00:16:58,4:29:43,12:23:15,M,30-34

William Tarver,709,1:19:27,00:08:35,5:54:23,00:08:51,4:52:00,12:23:17,M,50-54

Derek Pirtle,710,1:23:58,00:05:39,5:52:08,00:05:51,4:55:42,12:23:18,M,35-39

Leo Neat,711,1:05:09,00:07:14,6:13:13,00:07:31,4:50:14,12:23:21,M,25-29

Jon Mich,712,1:07:35,00:06:39,5:55:57,00:13:03,5:00:08,12:23:22,M,25-29

Nali Hummel,713,1:13:58,00:08:19,6:24:20,00:10:46,4:26:04,12:23:28,F,30-34

Corby Bittner,714,1:17:14,00:05:41,5:12:14,00:07:44,5:40:38,12:23:31,M,50-54

Krista Sermon,715,1:19:44,00:06:37,6:09:19,00:06:21,4:41:37,12:23:38,F,40-44

Kevin Swahn,716,1:07:06,00:07:53,5:50:29,00:12:03,5:06:09,12:23:39,M,30-34

Nicolas Brumm Jaramillo,717,1:10:54,00:07:23,6:03:05,00:07:09,4:55:34,12:24:05,M,40-44

Angel Mancebo Alvarez,718,1:22:45,00:07:34,5:54:19,00:06:40,4:53:31,12:24:48,M,60-64

Can Datca,719,1:28:02,00:07:12,6:04:18,00:07:59,4:37:19,12:24:51,M,55-59

Mark Yocum,720,1:22:36,00:10:34,5:31:55,00:10:49,5:09:13,12:25:07,M,50-54

Jamie Jeromin,721,1:21:05,00:06:41,6:07:10,00:07:35,4:42:36,12:25:08,F,35-39

Tori Hamill,722,1:10:14,00:06:42,6:15:18,00:08:44,4:44:27,12:25:26,F,50-54

Cherish Thompson,723,1:31:00,00:07:41,6:10:11,00:06:32,4:30:05,12:25:30,F,45-49

Dale French,724,1:22:08,00:07:05,5:37:36,00:12:20,5:07:10,12:26:18,M,55-59

Kris Plant,725,1:16:53,00:05:48,5:57:31,00:08:04,4:58:05,12:26:21,F,55-59

Benjamin Mcarthur,726,1:12:19,00:07:24,6:25:53,00:10:24,4:30:36,12:26:35,M,40-44

Blair Palm,727,1:14:08,00:10:09,6:23:03,00:13:06,4:26:10,12:26:36,M,45-49

Jason Smith,728,1:21:33,00:05:13,5:50:54,00:05:54,5:03:26,12:27:00,M,45-49

Nick Carroway,729,1:21:35,00:13:00,6:09:29,00:11:58,4:31:27,12:27:29,M,30-34

Michael Sullivan,730,1:46:57,00:07:35,6:09:16,00:11:45,4:12:02,12:27:34,M,18-24

Caleb Harris-Baker,731,1:18:37,00:10:23,6:23:14,00:09:46,4:25:50,12:27:50,M,30-34

Jennifer Miller,732,1:23:46,00:09:08,6:08:52,00:10:20,4:35:55,12:28:01,F,50-54

Lee Albrecht,733,1:40:15,00:04:40,6:01:22,00:08:59,4:32:50,12:28:07,M,40-44

Sarah Lucero-Calhoon,734,1:31:58,00:08:51,6:06:55,00:07:00,4:33:35,12:28:20,F,50-54

Jose Zamudio,735,1:20:12,00:14:18,5:38:51,00:10:34,5:04:41,12:28:36,M,35-39

Daniel Eduardo Zamudio Barrera,736,1:28:42,00:09:17,5:54:18,00:07:05,4:49:14,12:28:36,M,35-39

Thomas Krzmarzick,737,1:18:23,00:10:12,5:39:45,00:09:03,5:11:49,12:29:12,M,40-44

Oscar Barquero Mena,738,1:36:42,00:13:03,5:47:44,00:10:38,4:41:28,12:29:35,M,40-44

Oscar Castro,739,1:19:44,00:08:45,5:59:23,00:09:26,4:52:18,12:29:35,M,30-34

Jenn Adam,740,1:08:26,00:06:40,6:29:17,00:05:59,4:40:03,12:30:25,F,35-39

Alicia Light,741,1:22:32,00:06:35,6:07:45,00:07:54,4:45:39,12:30:25,F,55-59

Jun Sun,742,1:52:23,00:12:57,6:10:10,00:08:58,4:06:17,12:30:44,M,40-44

"Louis ""Mark"" Jr. Thomas",743,1:31:56,00:08:35,5:42:14,00:08:55,4:59:28,12:31:08,M,40-44

Kim Vanpelt,744,1:40:50,00:07:03,5:38:11,00:07:56,4:57:12,12:31:13,F,55-59

Jorge Gonzalez,745,1:30:43,00:07:23,5:49:14,00:08:32,4:55:24,12:31:15,M,55-59

Karen Gale,746,1:25:56,00:07:57,5:53:54,00:07:42,4:55:50,12:31:19,F,50-54

Michael Spiropoulou,747,1:22:50,00:06:40,6:11:46,00:10:03,4:40:13,12:31:32,M,40-44

Sean Griffin,748,1:15:44,00:11:58,5:44:55,00:12:49,5:06:14,12:31:39,M,40-44

Brian Huelsman,749,1:21:13,00:09:39,5:47:56,00:08:02,5:04:59,12:31:49,M,50-54

Cody Leibel,750,1:07:54,00:11:52,5:27:41,00:13:51,5:30:40,12:31:58,M,40-44

Philip Schaefer,751,1:12:07,00:07:39,6:23:48,00:08:14,4:40:15,12:32:03,M,50-54

Kyle Upp,752,1:20:49,00:06:51,6:07:38,00:08:33,4:48:12,12:32:04,M,25-29

Jean Watson,753,1:30:01,00:08:51,6:09:27,00:05:41,4:38:55,12:32:55,F,65-69

Mark Burton,754,1:36:28,00:13:31,5:46:12,00:09:49,4:47:23,12:33:23,M,30-34

Robert Collett,755,1:18:53,00:06:53,5:42:13,00:11:18,5:14:16,12:33:32,M,35-39

David Carter,756,1:15:45,00:06:04,5:32:02,00:06:36,5:33:27,12:33:55,M,40-44

Freddy Martinez,757,1:48:23,00:08:02,5:46:07,00:11:55,4:39:38,12:34:06,M,45-49

Scott Darling,758,1:14:06,00:05:38,5:37:47,00:10:36,5:26:00,12:34:07,M,55-59

Sheryl Leonard-Schneck,759,1:25:24,00:09:44,6:20:37,00:11:22,4:27:04,12:34:10,F,55-59

Lucas Hazan,760,1:23:56,00:05:32,6:02:12,00:05:55,4:56:41,12:34:14,M,25-29

Justin Zearley,761,1:23:26,00:09:04,5:56:56,00:07:37,4:57:11,12:34:15,M,30-34

Mara Flavia Souza Araújo,762,1:32:38,00:07:14,6:43:46,00:07:31,4:03:08,12:34:16,F,35-39

Keagan Tice,763,1:20:58,00:08:56,6:21:10,00:09:25,4:33:59,12:34:27,M,30-34

Laura Moeller,764,1:10:03,00:06:46,6:20:12,00:07:20,4:50:11,12:34:32,F,45-49

Travis Jensen,765,1:27:14,00:06:34,6:01:08,00:06:22,4:53:27,12:34:45,M,50-54

Ross Manley,766,1:13:59,00:07:05,6:01:56,00:10:15,5:01:49,12:35:04,M,50-54

Tomoshige Ikeda,767,1:32:45,00:14:13,6:06:19,00:10:35,4:32:05,12:35:57,M,65-69

Brady Cannon,768,1:12:55,00:10:55,5:44:23,00:09:40,5:18:05,12:35:58,M,40-44

Harrison Heim,769,1:17:39,00:07:55,6:01:49,00:06:28,5:02:10,12:36:02,M,25-29

Jami Price,770,1:30:28,00:05:42,5:59:03,00:06:27,4:54:29,12:36:10,F,55-59

Michael Fisher,771,1:24:51,00:10:58,6:28:12,00:12:33,4:20:22,12:36:55,M,30-34

